# EDA calibration coefficients — shifted Michaelis-Menten model (fit on raw samples)
# Forward : Raw = Rmax * max(G-G0,0) / (max(G-G0,0) + K)
# Inverse : G   = G0 + K * Raw / (Rmax - Raw)
# G0_std / K_std  : curve_fit covariance on all raw samples
# sigma_raw       : mean ADC noise floor across resistance conditions [ADC]
# G_min / G_max   : conductance at RAW thresholds [µS]
# sigma_G_*       : measurement uncertainty at G_min, G_mid, G_max [µS]
# S_*             : sensitivity dRAW/dG at G_min, G_mid, G_max [ADC/µS]
# res_*           : resolution sigma_raw/S at G_min, G_mid, G_max [µS]
# NOTE: *_min/mid/max refer to position on G axis, not metric magnitude
#       S is highest at G_min (steep); resolution is best at G_min (low res_min value)
DAC,G0,G0_std,K,K_std,Rmax,R2,RMSE,RMSE_cond,cov_G0K,N_fit,sigma_raw,status,G_min,G_max,sigma_G_min,sigma_G_mid,sigma_G_max,S_min,S_mid,S_max,res_min,res_mid,res_max
101.0,0.0029502846487037167,2.9372317884496164e-05,0.0028869301573268688,3.2627994656106193e-06,8547336.84,0.975449423534294,47197.5498780293,46613.297000963496,-9.038517139362886e-11,55800,7123.11249032258,OK,0.0031,0.016,1.7e-05,0.000172,0.000486,2756515052.97,275175743.04,97029241.12,3e-06,2.6e-05,7.3e-05
102.0,0.0024407776645132776,1.857091254434685e-05,0.0029559113572268075,2.297954258060619e-06,8547336.84,0.9789265311742218,47277.9913918567,46914.21941457808,-4.0173025043476875e-11,90000,5557.521153999999,OK,0.0025,0.0158,1.8e-05,0.000176,0.000499,2692187103.68,268754050.83,94764899.37,2e-06,2.1e-05,5.9e-05
103.0,0.0026112888022827418,2.0688886181468135e-05,0.002954640395610736,2.641214178818266e-06,8547336.84,0.9786361550267594,49927.09702950179,49647.37719472637,-5.1458023337107486e-11,75600,5036.322723809523,OK,0.0027,0.016,1.9e-05,0.000186,0.000527,2693345168.97,268869657.48,94805663.23,2e-06,1.9e-05,5.3e-05
104.0,0.002644473407419311,2.0610841430958073e-05,0.0029690086107305867,2.6482999749853486e-06,8547336.84,0.9787341756971492,50104.170933599096,49873.78065960952,-5.139577576486429e-11,75600,4538.061988095238,OK,0.0028,0.0161,1.9e-05,0.000187,0.000531,2680310999.03,267568490.13,94346860.87,2e-06,1.7e-05,4.8e-05
105.0,0.002723498611850587,2.0595309088045233e-05,0.0029820480131958764,2.668922454953051e-06,8547336.84,0.9786133617328343,50647.34385475354,50356.36992339575,-5.1746963552656454e-11,75600,5048.560547619047,OK,0.0028,0.0162,1.9e-05,0.00019,0.000539,2668590981.88,266398511.24,93934316.65,2e-06,1.9e-05,5.4e-05
106.0,0.0027697042615698647,2.0421194229739415e-05,0.0029981872456255687,2.6668217021510617e-06,8547336.84,0.9788756534060641,50677.4424360572,50369.00236651729,-5.126180499006073e-11,75600,5038.8900309523815,OK,0.0029,0.0163,1.9e-05,0.000191,0.000542,2654225965.09,264964488.9,93428668.52,2e-06,1.9e-05,5.4e-05
107.0,0.0027929533844376947,2.0389028759145358e-05,0.0030180633680218947,2.6829543674064646e-06,8547336.84,0.9789044239561825,50991.91869981694,50699.76932002488,-5.148493755844488e-11,75600,5266.627690476192,OK,0.0029,0.0164,1.9e-05,0.000194,0.000549,2636745974.21,263219506.78,92813373.4,2e-06,2e-05,5.7e-05
108.0,0.002808430438125794,2.0374644256779763e-05,0.0030392842378447484,2.701414839232681e-06,8547336.84,0.9789200683278275,51329.21817038932,51052.14022555851,-5.1797367746046334e-11,75600,5093.603057142858,OK,0.0029,0.0166,2e-05,0.000196,0.000557,2618335704.33,261381657.32,92165332.49,2e-06,1.9e-05,5.5e-05
109.0,0.0028142252819350305,2.0531024999356796e-05,0.0030643424020485727,2.7445170366918422e-06,8547336.84,0.9786056677488304,52102.05335845913,51877.475336311574,-5.302264816384568e-11,75600,4646.416497619047,OK,0.0029,0.0167,2e-05,0.000201,0.00057,2596924687.74,259244251.11,91411665.4,2e-06,1.8e-05,5.1e-05
110.0,0.00284495994834825,2.0406910130915064e-05,0.0030888182397259293,2.7534255079739575e-06,8547336.84,0.9788041547612228,52286.204667776605,52077.5724539663,-5.286565177987082e-11,75600,4515.377407142857,OK,0.003,0.0168,2e-05,0.000203,0.000577,2576346621.24,257189996.14,90687318.12,2e-06,1.8e-05,5e-05
111.0,0.0028485417454272447,2.4654592557853433e-05,0.003119905308543723,2.917154294728302e-06,8547336.84,0.9769475075807063,47608.86432753624,47347.36916051261,-6.785466902116196e-11,70200,4803.91914871795,OK,0.003,0.017,1.9e-05,0.000187,0.00053,2550675629.08,254627327.62,89783700.02,2e-06,1.9e-05,5.4e-05
112.0,0.002826692100676325,2.4986832512792757e-05,0.003152775297790795,2.983371843302579e-06,8547336.84,0.9763819345343193,48583.104310240626,48277.24031013255,-7.032566365275401e-11,70200,5116.194333333335,OK,0.0029,0.0171,1.9e-05,0.000193,0.000547,2524082969.42,251972651.43,88847639.26,2e-06,2e-05,5.8e-05
113.0,0.00287845084777193,2.5123677708224906e-05,0.0031873931798506168,3.0388753502400606e-06,8547336.84,0.9760476972310282,49520.87665155461,49189.91324745519,-7.201343249946079e-11,70200,5345.989992307693,OK,0.003,0.0173,2e-05,0.000199,0.000563,2496669217.3,249236007.71,87882676.07,2e-06,2.1e-05,6.1e-05
114.0,0.0029134968392267803,2.4976247601637492e-05,0.0032262017413476575,3.0615311615786134e-06,8547336.84,0.9762766611151563,49882.56655935635,49587.788374146454,-7.211254542941859e-11,70200,5156.50492051282,OK,0.003,0.0175,2e-05,0.000203,0.000575,2466636333.86,246237902.91,86825519.54,2e-06,2.1e-05,5.9e-05
115.0,0.0030034874028335287,2.4922034620104424e-05,0.0032663319183772774,3.10471069026363e-06,8547336.84,0.9762105797627039,50687.13030116141,50430.82920514161,-7.295216492606584e-11,70200,4841.971592307693,OK,0.0031,0.0178,2.1e-05,0.000208,0.000591,2436331222.43,243212622.29,85758780.59,2e-06,2e-05,5.6e-05
116.0,0.0029124238097515795,2.4382543856473065e-05,0.003330862816754072,3.0772764606098386e-06,8547336.84,0.9776903937049128,50429.18645302752,50183.67694396693,-7.06630898856899e-11,73800,4778.002251219513,OK,0.003,0.018,2.1e-05,0.000211,0.0006,2389130646.73,238500711.33,84097321.85,2e-06,2e-05,5.7e-05
117.0,0.0030500658964154694,1.9790401460977816e-05,0.0033876432436003097,2.942879534759612e-06,8547336.84,0.9800947211956795,56500.52830177324,56204.04961279714,-5.462244104037398e-11,82800,5368.483021739131,OK,0.0032,0.0184,2.4e-05,0.000241,0.000683,2349086330.32,234503191.16,82687763.2,2e-06,2.3e-05,6.5e-05
118.0,0.00302465341934656,2.4348969337530373e-05,0.0034599928748344335,3.2020051989339906e-06,8547336.84,0.9776888329461275,52697.24037765143,52424.92555384704,-7.334488101457387e-11,75600,5076.995269047618,OK,0.0032,0.0187,2.3e-05,0.00023,0.000651,2299966133.87,229599649.45,80958733.86,2e-06,2.2e-05,6.3e-05
119.0,0.002998293406969281,2.380475219701718e-05,0.0035587493649593144,3.206602529417595e-06,8547336.84,0.9788821536161462,53116.96447311514,52867.512285527475,-7.169794221904528e-11,81000,4938.495735555556,OK,0.0031,0.0191,2.4e-05,0.000238,0.000675,2236141301.19,223228182.06,78712101.81,2e-06,2.2e-05,6.3e-05
120.0,0.0031284553595660753,2.3674153833139807e-05,0.0036494638628885275,3.287081305022276e-06,8547336.84,0.9789684193515596,54532.21286414268,54260.49351049431,-7.305805745485238e-11,81000,5078.04622,OK,0.0033,0.0196,2.5e-05,0.000251,0.00071,2180557674.92,217679412.92,76755559.95,2e-06,2.3e-05,6.6e-05
121.0,0.0032888196998851595,2.346509775987875e-05,0.003761561996860888,3.3794738271044303e-06,8547336.84,0.9791566171264904,56168.63897138796,55861.97498748054,-7.440214174049539e-11,81000,5261.839480000001,OK,0.0034,0.0203,2.7e-05,0.000266,0.000754,2115574977.15,211192358.87,74468171.08,2e-06,2.5e-05,7.1e-05
122.0,0.0032844352469828114,2.3106722722829298e-05,0.003917100709440153,3.4537069983918817e-06,8547336.84,0.9799154259577072,57548.8072753793,57239.93808144596,-7.476149925366206e-11,86400,5314.924416666667,OK,0.0034,0.021,2.8e-05,0.000284,0.000805,2031570548.18,202806414.76,71511217.89,3e-06,2.6e-05,7.4e-05
123.0,0.0035512606206316304,2.274307971946007e-05,0.004074081345381502,3.57454241079106e-06,8547336.84,0.9802166571165382,59809.14893886054,59486.31457934752,-7.608532325542978e-11,86400,5282.150983333334,OK,0.0037,0.022,3.1e-05,0.000307,0.00087,1953291002.54,194991970.9,68755780.4,3e-06,2.7e-05,7.7e-05
124.0,0.0038234942660902963,1.7952646070039464e-05,0.004255657243317577,3.44175785603472e-06,8547336.84,0.9823657772931987,67834.75667916167,67482.68871961093,-5.744064260855588e-11,102600,5617.92879122807,OK,0.004,0.0231,3.6e-05,0.000363,0.001031,1869950040.75,186672259.0,65822181.23,3e-06,3e-05,8.5e-05
125.0,0.003888259584959322,2.1218596493432345e-05,0.004536541510710576,3.7359529555760375e-06,8547336.84,0.9816590366630065,63940.055346539084,63642.12358540456,-7.377594476027381e-11,100800,5270.036378571428,OK,0.0041,0.0244,3.6e-05,0.000365,0.001036,1754170311.63,175114269.16,61746738.49,3e-06,3e-05,8.5e-05
126.0,0.004184000752978925,2.0653658367766358e-05,0.004830499636764088,3.9120310162145524e-06,8547336.84,0.9822158410623629,67170.9445920225,66618.24825870553,-7.503871338546126e-11,104400,6498.892322413792,OK,0.0044,0.026,4.1e-05,0.000408,0.001158,1647420977.94,164457760.25,57989165.38,4e-06,4e-05,0.000112
127.0,0.004630400528893081,2.0501787003716057e-05,0.005214107597820926,4.2631646494824286e-06,8547336.84,0.9818905340073958,73512.80275743644,70745.88389361944,-8.095507956181142e-11,108000,10983.749838333333,OK,0.0048,0.0282,4.8e-05,0.000482,0.001368,1526218300.31,152358411.53,53722835.03,7e-06,7.2e-05,0.000204
128.0,0.005856389433735082,1.593669734306059e-05,0.006130998933992848,4.813805588180107e-06,8547336.84,0.9833562685674738,96324.20505825806,94686.81557256295,-7.018757223498562e-11,118800,8844.965566666668,OK,0.0061,0.0336,7.4e-05,0.000743,0.002108,1297972242.57,129573200.01,45688581.15,7e-06,6.8e-05,0.000194
129.0,0.006491117237074238,1.7964737675021263e-05,0.0068504155582553425,5.281981734103576e-06,8547336.84,0.9839401442958517,92188.14208704622,90806.22149812525,-8.680980672050975e-11,117000,8320.305461538459,OK,0.0067,0.0375,7.9e-05,0.000795,0.002255,1161661853.63,115965687.69,40890459.85,7e-06,7.2e-05,0.000203
130.0,0.007338828945742723,1.695841621300365e-05,0.007681698652231699,5.781993516112274e-06,8547336.84,0.9845547590139191,101209.80921858437,99250.69609557246,-8.906400673593085e-11,124200,9652.272698550725,OK,0.0076,0.0421,9.8e-05,0.000979,0.002775,1035951395.1,103416338.9,36465455.75,9e-06,9.3e-05,0.000265
131.0,0.008447391090844532,1.2971236929194937e-05,0.008767149660832071,6.322659174181854e-06,8547336.84,0.9858303864624803,126665.68558680503,125051.32431795272,-7.291146564391755e-11,131400,10804.324767123288,OK,0.0088,0.0481,0.00014,0.001398,0.003964,907691409.8,90612477.47,31950708.4,1.2e-05,0.000119,0.000338
132.0,0.009623801641043163,1.49332687949026e-05,0.010009635338138704,7.2924936203090385e-06,8547336.84,0.9855418774932538,127575.93193225311,125889.80621151978,-9.664007121682889e-11,129600,10871.534818055556,OK,0.01,0.0549,0.00016,0.001607,0.004559,795020614.31,79364844.4,27984700.03,1.4e-05,0.000137,0.000388
